cnpj,razao_social,sigla_uf,cnae_secao,archetype,headcount,receita_point_brl,receita_pia_brl,convergencia_pct,confidence
50781434000144,MINERACAO HORICAL LTDA,SP,C,labor_intensive_midcap,269,249006917.36688426,241869918.92000002,2.866184812194861,alta
33565527000112,LACTMILK INDUSTRIA E COMERCIO DE LATICINIOS LTDA,RJ,C,labor_intensive_midcap,205,248783182.4443542,232253841.85000002,6.644074744904162,alta
07740586000170,ORTHOMETRIC - INDUSTRIA E COMERCIO DE PRODUTOS MEDICOS E ODONTOLOGICOS LTDA,SP,C,labor_intensive_midcap,483,246760029.62271902,189566371.68,23.177845305888727,alta
74372285000128,KAWAGRAF EMBALAGENS LTDA,SP,C,standard,216,244601720.58693045,225073296.0,7.9837641943283595,alta
55295125000188,ARTERRA PAISAGISMO LTDA,SP,G,labor_intensive_midcap,117,241453113.35803923,208431427.23,13.676231243733422,alta
59160689000164,LUCHETI LUBRIFICANTES LTDA,SP,C,standard,73,234700275.83622587,204133188.64999998,13.023882088470847,alta
11500075000158,PREMAG - ACO E ESTRUTURAS PRE-MOLDADAS DE CONCRETO LTDA,RJ,G,labor_intensive_midcap,100,231481474.4487708,178146519.0,23.040701453875677,alta
28266449000115,AGRO COMERCIAL AMAZON LTDA,SP,G,labor_intensive_midcap,100,229985586.6552732,178146519.0,22.540137583915246,alta
03523294000124,COMERCIO DE HORTIFRUTIGRANJEIRO SITIO VERDE LTDA,SP,G,labor_intensive_midcap,100,229985586.6552732,178146519.0,22.540137583915246,alta
01681499000102,LTM INDUSTRIA E COMERCIO DE CHICOTES ELETRICOS LTDA,SP,C,standard,303,229522994.5312167,195141699.03,14.979455793280275,alta
06885217000102,SOLEFER INDUSTRIA E COMERCIO DE ESTAMPOS E MOLDES LTDA,SP,C,labor_intensive_midcap,291,229339285.90511504,180250509.96,21.404433937857736,alta
60433778000116,SOLVENTEX INDUSTRIA QUIMICA LIMITADA,SP,C,labor_intensive_midcap,159,228101664.62455833,175410790.68,23.09973231948322,alta
13373000000189,TMA MAQUINAS E EQUIPAMENTOS AGRICOLAS LTDA,SP,C,family_mature_sweet_spot,200,227440669.61304867,198265240.0,12.827710040902387,alta
07223780000188,MALCON METALURGICA LTDA,SP,C,labor_intensive_midcap,363,225281665.42694837,219258965.96999997,2.673408617400943,alta
46270518000146,SPAAL INDUSTRIA E COMERCIO LTDA,SP,C,standard,404,224995660.695957,250244694.24,11.222009111616929,alta
05304298000147,ALUX DO BRASIL INDUSTRIA E COMERCIO LTDA.,SP,C,capital_intensive,86,222449195.53949085,174877779.3,21.38529479691717,alta
09287935000175,ORNNA DISTRIBUIDORA LTDA,SP,G,labor_intensive_midcap,118,222334712.91047394,210212892.42,5.4520593441272345,alta
