cnae_5digit,cnae_5digit_clean,cnae_class,cnae_group,cnae_division,cnae_section,cnae_class_name,survey_classification_code,survey_classification_name,source_survey,coverage_status,notes
0111-3/01,111301,01.11-3,1.1,1,A,Cultivo de cereais,,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
0111-3/02,111302,01.11-3,1.1,1,A,Cultivo de cereais,,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
0111-3/03,111303,01.11-3,1.1,1,A,Cultivo de cereais,,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
0111-3/99,111399,01.11-3,1.1,1,A,Cultivo de cereais,,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
0112-1/01,112101,01.12-1,1.1,1,A,Cultivo de algodão herbáceo e de outras fibras de lavoura temporária,,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
0112-1/02,112102,01.12-1,1.1,1,A,Cultivo de algodão herbáceo e de outras fibras de lavoura temporária,,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
0112-1/99,112199,01.12-1,1.1,1,A,Cultivo de algodão herbáceo e de outras fibras de lavoura temporária,,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
0113-0/00,113000,01.13-0,1.1,1,A,Cultivo de cana-de-açúcar,,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
0114-8/00,114800,01.14-8,1.1,1,A,Cultivo de fumo,,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
0115-6/00,115600,01.15-6,1.1,1,A,Cultivo de soja,,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
0116-4/01,116401,01.16-4,1.1,1,A,"Cultivo de oleaginosas de lavoura temporária, exceto soja",,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
0116-4/02,116402,01.16-4,1.1,1,A,"Cultivo de oleaginosas de lavoura temporária, exceto soja",,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
0116-4/03,116403,01.16-4,1.1,1,A,"Cultivo de oleaginosas de lavoura temporária, exceto soja",,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
0116-4/99,116499,01.16-4,1.1,1,A,"Cultivo de oleaginosas de lavoura temporária, exceto soja",,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
0119-9/01,119901,01.19-9,1.1,1,A,Cultivo de plantas de lavoura temporária não especificadas anteriormente,,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
0119-9/02,119902,01.19-9,1.1,1,A,Cultivo de plantas de lavoura temporária não especificadas anteriormente,,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
0119-9/03,119903,01.19-9,1.1,1,A,Cultivo de plantas de lavoura temporária não especificadas anteriormente,,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
0119-9/04,119904,01.19-9,1.1,1,A,Cultivo de plantas de lavoura temporária não especificadas anteriormente,,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
0119-9/05,119905,01.19-9,1.1,1,A,Cultivo de plantas de lavoura temporária não especificadas anteriormente,,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
0119-9/06,119906,01.19-9,1.1,1,A,Cultivo de plantas de lavoura temporária não especificadas anteriormente,,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
0119-9/07,119907,01.19-9,1.1,1,A,Cultivo de plantas de lavoura temporária não especificadas anteriormente,,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
0119-9/08,119908,01.19-9,1.1,1,A,Cultivo de plantas de lavoura temporária não especificadas anteriormente,,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
0119-9/09,119909,01.19-9,1.1,1,A,Cultivo de plantas de lavoura temporária não especificadas anteriormente,,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
0119-9/99,119999,01.19-9,1.1,1,A,Cultivo de plantas de lavoura temporária não especificadas anteriormente,,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
0121-1/01,121101,01.21-1,1.2,1,A,Horticultura,,,,not_covered,Producao agropecuaria primaria (secao A) — nao coberta por PIA/PAC/PAS
