cnae_division,cnae_division_name,cnae_section,survey_classification_code,survey_classification_name,source_survey,profile_used,granularity_tier,percentile_band,percentile_lower,percentile_upper,n_empresas_na_faixa,receita_total_faixa_mil_reais,receita_media_empresa_faixa_mil_reais,po_total_faixa,po_medio_empresa_faixa,n_empresas_cnae_total,receita_total_cnae_mil_reais,po_total_cnae,data_quality_flag,mapping_ambiguity,base_year,generated_at,model_version
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.1,2.1 Veículos automotores,PAC,comercio_atacadista,full,top_0_to_0.5pct,0.0,0.005,146,88126220.16,603604.248,39017.5,267.24,29270,400573728.0,260117.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.1,2.1 Veículos automotores,PAC,comercio_atacadista,full,top_0.5_to_1pct,0.005,0.01,146,32045898.24,219492.454,18208.2,124.71,29270,400573728.0,260117.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.1,2.1 Veículos automotores,PAC,comercio_atacadista,full,top_1_to_2pct,0.01,0.02,292,40057372.8,137182.784,23410.5,80.17,29270,400573728.0,260117.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.1,2.1 Veículos automotores,PAC,comercio_atacadista,full,top_2_to_3pct,0.02,0.03,292,28040160.96,96027.948,18208.2,62.36,29270,400573728.0,260117.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.1,2.1 Veículos automotores,PAC,comercio_atacadista,full,top_3_to_5pct,0.03,0.05,585,36051635.52,61626.727,23410.5,40.02,29270,400573728.0,260117.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.1,2.1 Veículos automotores,PAC,comercio_atacadista,full,top_5_to_7.5pct,0.05,0.075,731,28040160.96,38358.633,20809.4,28.47,29270,400573728.0,260117.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.1,2.1 Veículos automotores,PAC,comercio_atacadista,full,top_7.5_to_10pct,0.075,0.1,731,24034423.68,32878.829,18208.2,24.91,29270,400573728.0,260117.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.1,2.1 Veículos automotores,PAC,comercio_atacadista,full,top_10_to_15pct,0.1,0.15,1463,32045898.24,21904.237,23410.5,16.0,29270,400573728.0,260117.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.1,2.1 Veículos automotores,PAC,comercio_atacadista,full,top_15_to_25pct,0.15,0.25,2927,36051635.52,12316.924,28612.9,9.78,29270,400573728.0,260117.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.1,2.1 Veículos automotores,PAC,comercio_atacadista,full,top_25_to_50pct,0.25,0.5,7317,36051635.52,4927.106,28612.9,3.91,29270,400573728.0,260117.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.1,2.1 Veículos automotores,PAC,comercio_atacadista,full,top_50_to_100pct,0.5,1.0,14640,20028686.4,1368.08,18208.2,1.24,29270,400573728.0,260117.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.2,2.2 Peças para veículos,PAC,comercio_atacadista,full,top_0_to_0.5pct,0.0,0.005,511,43735103.72,85587.287,81643.3,159.77,102379,198795926.0,544289.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.2,2.2 Peças para veículos,PAC,comercio_atacadista,full,top_0.5_to_1pct,0.005,0.01,511,15903674.08,31122.65,38100.2,74.56,102379,198795926.0,544289.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.2,2.2 Peças para veículos,PAC,comercio_atacadista,full,top_1_to_2pct,0.01,0.02,1023,19879592.6,19432.642,48986.0,47.88,102379,198795926.0,544289.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.2,2.2 Peças para veículos,PAC,comercio_atacadista,full,top_2_to_3pct,0.02,0.03,1023,13915714.82,13602.849,38100.2,37.24,102379,198795926.0,544289.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.2,2.2 Peças para veículos,PAC,comercio_atacadista,full,top_3_to_5pct,0.03,0.05,2047,17891633.34,8740.417,48986.0,23.93,102379,198795926.0,544289.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.2,2.2 Peças para veículos,PAC,comercio_atacadista,full,top_5_to_7.5pct,0.05,0.075,2559,13915714.82,5437.95,43543.1,17.02,102379,198795926.0,544289.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.2,2.2 Peças para veículos,PAC,comercio_atacadista,full,top_7.5_to_10pct,0.075,0.1,2559,11927755.56,4661.1,38100.2,14.89,102379,198795926.0,544289.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.2,2.2 Peças para veículos,PAC,comercio_atacadista,full,top_10_to_15pct,0.1,0.15,5118,15903674.08,3107.4,48986.0,9.57,102379,198795926.0,544289.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.2,2.2 Peças para veículos,PAC,comercio_atacadista,full,top_15_to_25pct,0.15,0.25,10237,17891633.34,1747.742,59871.8,5.85,102379,198795926.0,544289.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.2,2.2 Peças para veículos,PAC,comercio_atacadista,full,top_25_to_50pct,0.25,0.5,25594,17891633.34,699.056,59871.8,2.34,102379,198795926.0,544289.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.2,2.2 Peças para veículos,PAC,comercio_atacadista,full,top_50_to_100pct,0.5,1.0,51197,9939796.3,194.148,38100.2,0.74,102379,198795926.0,544289.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.3,"2.3 Motocicletas, peças e acessórios",PAC,comercio_varejista,full,top_0_to_0.5pct,0.0,0.005,89,6086122.9,68383.403,14773.5,165.99,17912,46816330.0,98490.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.3,"2.3 Motocicletas, peças e acessórios",PAC,comercio_varejista,full,top_0.5_to_1pct,0.005,0.01,89,2808979.8,31561.571,5909.4,66.4,17912,46816330.0,98490.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.3,"2.3 Motocicletas, peças e acessórios",PAC,comercio_varejista,full,top_1_to_2pct,0.01,0.02,179,3745306.4,20923.499,8864.1,49.52,17912,46816330.0,98490.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.3,"2.3 Motocicletas, peças e acessórios",PAC,comercio_varejista,full,top_2_to_3pct,0.02,0.03,179,2808979.8,15692.625,6894.3,38.52,17912,46816330.0,98490.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.3,"2.3 Motocicletas, peças e acessórios",PAC,comercio_varejista,full,top_3_to_5pct,0.03,0.05,358,3745306.4,10461.75,8864.1,24.76,17912,46816330.0,98490.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.3,"2.3 Motocicletas, peças e acessórios",PAC,comercio_varejista,full,top_5_to_7.5pct,0.05,0.075,447,3745306.4,8378.762,7879.2,17.63,17912,46816330.0,98490.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.3,"2.3 Motocicletas, peças e acessórios",PAC,comercio_varejista,full,top_7.5_to_10pct,0.075,0.1,447,2808979.8,6284.071,5909.4,13.22,17912,46816330.0,98490.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.3,"2.3 Motocicletas, peças e acessórios",PAC,comercio_varejista,full,top_10_to_15pct,0.1,0.15,895,4213469.7,4707.787,9849.0,11.0,17912,46816330.0,98490.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.3,"2.3 Motocicletas, peças e acessórios",PAC,comercio_varejista,full,top_15_to_25pct,0.15,0.25,1791,5617959.6,3136.773,10833.9,6.05,17912,46816330.0,98490.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.3,"2.3 Motocicletas, peças e acessórios",PAC,comercio_varejista,full,top_25_to_50pct,0.25,0.5,4478,6554286.2,1463.664,11818.8,2.64,17912,46816330.0,98490.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
45,Comércio e reparação de veículos automotores e motocicletas,G,PAC_2.3,"2.3 Motocicletas, peças e acessórios",PAC,comercio_varejista,full,top_50_to_100pct,0.5,1.0,8960,4681633.0,522.504,6894.3,0.77,17912,46816330.0,98490.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
46,"Comércio por atacado, exceto veículos automotores e motocicletas",G,PAC_3.1,3.1 Representantes e agentes do comércio (exceto de veículos e motocicletas),PAC,comercio_atacadista,full,top_0_to_0.5pct,0.0,0.005,400,5971589.8,14928.975,18920.5,47.3,80092,27143590.0,126137.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
46,"Comércio por atacado, exceto veículos automotores e motocicletas",G,PAC_3.1,3.1 Representantes e agentes do comércio (exceto de veículos e motocicletas),PAC,comercio_atacadista,full,top_0.5_to_1pct,0.005,0.01,400,2171487.2,5428.718,8829.6,22.07,80092,27143590.0,126137.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
46,"Comércio por atacado, exceto veículos automotores e motocicletas",G,PAC_3.1,3.1 Representantes e agentes do comércio (exceto de veículos e motocicletas),PAC,comercio_atacadista,full,top_1_to_2pct,0.01,0.02,800,2714359.0,3392.949,11352.3,14.19,80092,27143590.0,126137.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
46,"Comércio por atacado, exceto veículos automotores e motocicletas",G,PAC_3.1,3.1 Representantes e agentes do comércio (exceto de veículos e motocicletas),PAC,comercio_atacadista,full,top_2_to_3pct,0.02,0.03,800,1900051.3,2375.064,8829.6,11.04,80092,27143590.0,126137.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
46,"Comércio por atacado, exceto veículos automotores e motocicletas",G,PAC_3.1,3.1 Representantes e agentes do comércio (exceto de veículos e motocicletas),PAC,comercio_atacadista,full,top_3_to_5pct,0.03,0.05,1601,2442923.1,1525.873,11352.3,7.09,80092,27143590.0,126137.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
46,"Comércio por atacado, exceto veículos automotores e motocicletas",G,PAC_3.1,3.1 Representantes e agentes do comércio (exceto de veículos e motocicletas),PAC,comercio_atacadista,full,top_5_to_7.5pct,0.05,0.075,2002,1900051.3,949.077,10091.0,5.04,80092,27143590.0,126137.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
46,"Comércio por atacado, exceto veículos automotores e motocicletas",G,PAC_3.1,3.1 Representantes e agentes do comércio (exceto de veículos e motocicletas),PAC,comercio_atacadista,full,top_7.5_to_10pct,0.075,0.1,2002,1628615.4,813.494,8829.6,4.41,80092,27143590.0,126137.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
46,"Comércio por atacado, exceto veículos automotores e motocicletas",G,PAC_3.1,3.1 Representantes e agentes do comércio (exceto de veículos e motocicletas),PAC,comercio_atacadista,full,top_10_to_15pct,0.1,0.15,4004,2171487.2,542.329,11352.3,2.84,80092,27143590.0,126137.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
46,"Comércio por atacado, exceto veículos automotores e motocicletas",G,PAC_3.1,3.1 Representantes e agentes do comércio (exceto de veículos e motocicletas),PAC,comercio_atacadista,full,top_15_to_25pct,0.15,0.25,8009,2442923.1,305.022,13875.1,1.73,80092,27143590.0,126137.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
46,"Comércio por atacado, exceto veículos automotores e motocicletas",G,PAC_3.1,3.1 Representantes e agentes do comércio (exceto de veículos e motocicletas),PAC,comercio_atacadista,full,top_25_to_50pct,0.25,0.5,20023,2442923.1,122.006,13875.1,0.69,80092,27143590.0,126137.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
46,"Comércio por atacado, exceto veículos automotores e motocicletas",G,PAC_3.1,3.1 Representantes e agentes do comércio (exceto de veículos e motocicletas),PAC,comercio_atacadista,full,top_50_to_100pct,0.5,1.0,40051,1357179.5,33.886,8829.6,0.22,80092,27143590.0,126137.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
46,"Comércio por atacado, exceto veículos automotores e motocicletas",G,PAC_3.2,3.2 Comércio de matérias-primas agrícolas e animais vivos,PAC,comercio_atacadista,full,top_0_to_0.5pct,0.0,0.005,38,97832834.88,2574548.286,17986.5,473.33,7647,444694704.0,119910.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
46,"Comércio por atacado, exceto veículos automotores e motocicletas",G,PAC_3.2,3.2 Comércio de matérias-primas agrícolas e animais vivos,PAC,comercio_atacadista,full,top_0.5_to_1pct,0.005,0.01,38,35575576.32,936199.377,8393.7,220.89,7647,444694704.0,119910.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
46,"Comércio por atacado, exceto veículos automotores e motocicletas",G,PAC_3.2,3.2 Comércio de matérias-primas agrícolas e animais vivos,PAC,comercio_atacadista,full,top_1_to_2pct,0.01,0.02,76,44469470.4,585124.611,10791.9,142.0,7647,444694704.0,119910.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
46,"Comércio por atacado, exceto veículos automotores e motocicletas",G,PAC_3.2,3.2 Comércio de matérias-primas agrícolas e animais vivos,PAC,comercio_atacadista,full,top_2_to_3pct,0.02,0.03,76,31128629.28,409587.227,8393.7,110.44,7647,444694704.0,119910.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
46,"Comércio por atacado, exceto veículos automotores e motocicletas",G,PAC_3.2,3.2 Comércio de matérias-primas agrícolas e animais vivos,PAC,comercio_atacadista,full,top_3_to_5pct,0.03,0.05,152,40022523.36,263306.075,10791.9,71.0,7647,444694704.0,119910.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
46,"Comércio por atacado, exceto veículos automotores e motocicletas",G,PAC_3.2,3.2 Comércio de matérias-primas agrícolas e animais vivos,PAC,comercio_atacadista,full,top_5_to_7.5pct,0.05,0.075,191,31128629.28,162977.117,9592.8,50.22,7647,444694704.0,119910.0,ok,False,2023,2026-05-22T21:51:03Z,1.2.0
