cnae_2d,cnae_4d,pessoal_total,pessoal_assalariado,fator_pessoal,ano
01,0111,14825,6955,2.1316,2021
01,0112,5475,5164,1.0602,2021
01,0113,52567,41598,1.2637,2021
01,0114,533,490,1.0878,2021
01,0115,52740,41153,1.2816,2021
01,0116,1821,945,1.927,2021
01,0119,26495,21283,1.2449,2021
01,0121,11649,6505,1.7908,2021
01,0122,4262,2976,1.4321,2021
01,0131,13401,10512,1.2748,2021
01,0132,18999,18153,1.0466,2021
01,0133,38726,34027,1.1381,2021
01,0134,15388,8678,1.7732,2021
01,0135,1716,1439,1.1925,2021
01,0139,17940,15491,1.1581,2021
01,0141,12973,12265,1.0577,2021
01,0142,3136,2541,1.2342,2021
01,0151,80471,42323,1.9014,2021
01,0152,3189,2085,1.5295,2021
01,0153,597,286,2.0874,2021
01,0154,7728,7019,1.101,2021
01,0155,40999,38117,1.0756,2021
01,0159,3583,2461,1.4559,2021
01,0161,67871,52553,1.2915,2021
01,0162,13253,9145,1.4492,2021
01,0163,9983,8555,1.1669,2021
02,0210,52107,43191,1.2064,2021
02,0220,6043,4598,1.3143,2021
02,0230,31252,28316,1.1037,2021
03,0311,1910,1430,1.3357,2021
03,0312,1188,220,5.0,2021
03,0321,7453,6274,1.1879,2021
03,0322,4359,2687,1.6223,2021
05,0500,3727,3660,1.0183,2021
06,0600,5991,5760,1.0401,2021
07,0710,80580,80049,1.0066,2021
07,0721,3796,3769,1.0072,2021
07,0722,494,437,1.1304,2021
07,0723,1188,1030,1.1534,2021
07,0724,5871,4973,1.1806,2021
07,0729,8688,8479,1.0246,2021
08,0810,75641,62306,1.214,2021
08,0891,3175,2976,1.0669,2021
08,0892,3218,3030,1.062,2021
08,0893,1345,980,1.3724,2021
08,0899,8473,7184,1.1794,2021
09,0910,24000,23786,1.009,2021
09,0990,4096,3416,1.1991,2021
10,1011,167005,164683,1.0141,2021
10,1012,447442,445924,1.0034,2021
10,1013,51256,47945,1.0691,2021
10,1020,21090,20116,1.0484,2021
10,1031,37603,34771,1.0814,2021
10,1032,15548,14371,1.0819,2021
10,1033,50325,48860,1.03,2021
10,1041,48705,48228,1.0099,2021
10,1042,6024,5817,1.0356,2021
10,1043,473,442,1.0701,2021
10,1051,27847,26598,1.047,2021
10,1052,105106,100857,1.0421,2021
10,1053,32190,27243,1.1816,2021
10,1061,26639,25432,1.0475,2021
10,1062,21250,20638,1.0297,2021
10,1063,3708,2999,1.2364,2021
10,1064,20316,19427,1.0458,2021
10,1065,8286,7872,1.0526,2021
10,1066,62952,59295,1.0617,2021
10,1069,6691,5667,1.1807,2021
10,1071,223585,223159,1.0019,2021
10,1072,15645,15577,1.0044,2021
10,1081,22117,19444,1.1375,2021
10,1082,2891,2794,1.0347,2021
10,1091,193048,166577,1.1589,2021
10,1092,57451,54738,1.0496,2021
10,1093,46052,44603,1.0325,2021
10,1094,34238,30828,1.1106,2021
10,1095,23085,21254,1.0861,2021
10,1096,15306,12581,1.2166,2021
10,1099,68953,61160,1.1274,2021
11,1111,10337,7723,1.3385,2021
11,1112,8701,7182,1.2115,2021
11,1113,72087,68953,1.0455,2021
11,1121,21204,19296,1.0989,2021
11,1122,72133,71356,1.0109,2021
12,1210,7661,7626,1.0046,2021
12,1220,9379,9079,1.033,2021
13,1311,20739,20080,1.0328,2021
13,1312,3868,3634,1.0644,2021
13,1313,6038,5885,1.026,2021
13,1314,3802,3705,1.0262,2021
13,1321,52020,51206,1.0159,2021
13,1322,3642,3483,1.0457,2021
13,1323,24431,23822,1.0256,2021
13,1330,24072,22884,1.0519,2021
13,1340,35228,31620,1.1141,2021
13,1351,32737,28638,1.1431,2021
13,1352,6617,5922,1.1174,2021
13,1353,5382,4999,1.0766,2021
13,1354,19136,18197,1.0516,2021
13,1359,34440,32033,1.0751,2021
14,1411,92869,85585,1.0851,2021
14,1412,454627,400292,1.1357,2021
14,1413,33654,28978,1.1614,2021
14,1414,12018,10375,1.1584,2021
14,1421,5878,5644,1.0415,2021
14,1422,9795,7661,1.2786,2021
15,1510,24793,23970,1.0343,2021
15,1521,13530,11710,1.1554,2021
15,1529,8466,7058,1.1995,2021
15,1531,113039,107254,1.0539,2021
15,1532,26655,26327,1.0125,2021
15,1533,111055,110005,1.0095,2021
15,1539,11239,9953,1.1292,2021
15,1540,24462,22609,1.082,2021
16,1610,80927,70836,1.1425,2021
16,1621,51188,49820,1.0275,2021
16,1622,35361,30747,1.1501,2021
16,1623,18103,16303,1.1104,2021
16,1629,24510,19999,1.2256,2021
17,1710,50782,50728,1.0011,2021
17,1721,23572,23284,1.0124,2021
17,1722,5892,5830,1.0106,2021
17,1731,21848,20178,1.0828,2021
17,1732,14254,13838,1.0301,2021
17,1733,33354,31843,1.0475,2021
17,1741,16825,15039,1.1188,2021
17,1742,30738,29861,1.0294,2021
17,1749,8091,7469,1.0833,2021
18,1811,14542,12715,1.1437,2021
18,1812,9601,9152,1.0491,2021
