tipo_industria,faixa_label,razao_folha_receita,receita_brl_mil,salarios_brl_mil,ano
Indústrias de transformação,100 a 249,0.079258,510948306.00,40496649.00,2023
Indústrias de transformação,250 a 499,0.071686,532717507.00,38188213.00,2023
Indústrias de transformação,30 a 49,0.120241,139080702.00,16723250.00,2023
Indústrias de transformação,5 a 29,0.147823,334060580.00,49381869.00,2023
Indústrias de transformação,50 a 99,0.091801,288812968.00,26513216.00,2023
Indústrias de transformação,500 ou mais,0.059639,4067594495.00,242587670.00,2023
Indústrias de transformação,Até 4,0.086144,119652827.00,10307430.00,2023
Indústrias de transformação,Total,0.070784,5992867385.00,424198297.00,2023
Indústrias extrativas,100 a 249,0.040619,47066608.00,1911797.00,2023
Indústrias extrativas,250 a 499,0.106895,15780688.00,1686878.00,2023
Indústrias extrativas,30 a 49,0.085478,6117842.00,522940.00,2023
Indústrias extrativas,5 a 29,0.036481,33946052.00,1238373.00,2023
Indústrias extrativas,50 a 99,0.034952,36911376.00,1290118.00,2023
Indústrias extrativas,500 ou mais,0.047682,313017549.00,14925383.00,2023
Indústrias extrativas,Até 4,0.052351,4828279.00,252765.00,2023
Indústrias extrativas,Total,0.047694,457668394.00,21828254.00,2023
Total,100 a 249,0.075999,558014914.00,42408446.00,2023
Total,250 a 499,0.072699,548498195.00,39875091.00,2023
Total,30 a 49,0.118777,145198544.00,17246190.00,2023
Total,5 a 29,0.137553,368006632.00,50620242.00,2023
Total,50 a 99,0.085358,325724344.00,27803334.00,2023
Total,500 ou mais,0.058785,4380612044.00,257513053.00,2023
Total,Até 4,0.084834,124481106.00,10560195.00,2023
Total,Total,0.069146,6450535779.00,446026551.00,2023
