wbes_code,wbes_name,porte,hc_min,hc_max,n,razao_efetiva,razao_p25,razao_p75
1,Food,Small,1,20,26,0.1905,0.1474,0.3
1,Food,Medium,20,100,25,0.2027,0.089,0.3031
1,Food,Large,100,300,7,0.1805,0.101,0.2071
1,Food,XL,300,10000000,9,0.0645,0.0561,0.1861
1,Food,ALL,1,10000000,67,0.1895,0.1087,0.3
2,Garments,Small,1,20,36,0.1787,0.1234,0.4025
2,Garments,Medium,20,100,27,0.2992,0.2033,0.4444
2,Garments,Large,100,300,6,0.1601,0.1408,0.1746
2,Garments,XL,300,10000000,5,0.1223,0.1195,0.1361
2,Garments,ALL,1,10000000,74,0.2591,0.1636,0.4289
3,Rubber & Plastics,Small,1,20,16,0.1482,0.1296,0.2692
3,Rubber & Plastics,Medium,20,100,19,0.307,0.1806,0.3192
3,Rubber & Plastics,Large,100,300,14,0.0719,0.0512,0.123
3,Rubber & Plastics,XL,300,10000000,9,0.0984,0.097,0.1142
3,Rubber & Plastics,ALL,1,10000000,58,0.1496,0.0907,0.28
4,Basic metals,Small,1,20,5,0.0769,0.0476,0.1951
4,Basic metals,Medium,20,100,10,0.1261,0.11,0.279
4,Basic metals,Large,100,300,9,0.0449,0.0145,0.0784
4,Basic metals,XL,300,10000000,2,0.1142,0.0995,0.1645
4,Basic metals,ALL,1,10000000,26,0.1123,0.0532,0.2015
5,Motor Vehicles,Small,1,20,8,0.117,0.0498,0.4235
5,Motor Vehicles,Medium,20,100,15,0.1538,0.1471,0.2288
5,Motor Vehicles,Large,100,300,8,0.1399,0.0709,0.1908
5,Motor Vehicles,XL,300,10000000,3,0.2759,0.121,0.6607
5,Motor Vehicles,ALL,1,10000000,34,0.1507,0.0688,0.21
6,Other Manufacturing,Small,1,20,120,0.25,0.1508,0.2923
6,Other Manufacturing,Medium,20,100,74,0.2283,0.1199,0.4074
6,Other Manufacturing,Large,100,300,21,0.1441,0.1168,0.1956
6,Other Manufacturing,XL,300,10000000,17,0.1327,0.0924,0.1496
6,Other Manufacturing,ALL,1,10000000,232,0.2337,0.13,0.3158
7,Construction,Small,1,20,27,0.2179,0.1345,0.3977
7,Construction,Medium,20,100,25,0.225,0.0665,0.3295
7,Construction,Large,100,300,8,0.2835,0.1522,0.3945
7,Construction,XL,300,10000000,9,0.2017,0.1719,0.244
7,Construction,ALL,1,10000000,69,0.218,0.1058,0.347
8,Wholesale,Small,1,20,65,0.241,0.1276,0.3907
8,Wholesale,Medium,20,100,28,0.0979,0.0476,0.2272
8,Wholesale,Large,100,300,5,0.2814,0.1996,0.3429
8,Wholesale,XL,300,10000000,7,0.0948,0.0718,0.1453
8,Wholesale,ALL,1,10000000,105,0.1651,0.0959,0.3731
9,Retail,Small,1,20,180,0.1362,0.0865,0.2271
9,Retail,Medium,20,100,35,0.081,0.0713,0.157
9,Retail,Large,100,300,14,0.0524,0.0374,0.1357
9,Retail,XL,300,10000000,11,0.141,0.1025,0.2125
9,Retail,ALL,1,10000000,240,0.1334,0.077,0.2074
10,"Transport, Storage & Comm",Small,1,20,38,0.2,0.1407,0.3112
10,"Transport, Storage & Comm",Medium,20,100,25,0.3005,0.1866,0.4028
10,"Transport, Storage & Comm",Large,100,300,14,0.3994,0.2454,0.4592
10,"Transport, Storage & Comm",XL,300,10000000,13,0.3376,0.2333,0.5515
10,"Transport, Storage & Comm",ALL,1,10000000,90,0.2195,0.1508,0.3674
11,Hotels,Small,1,20,42,0.2982,0.1373,0.3771
11,Hotels,Medium,20,100,34,0.2372,0.1481,0.3323
11,Hotels,Large,100,300,3,0.1355,0.07,0.2185
11,Hotels,XL,300,10000000,4,0.4017,0.194,0.4498
11,Hotels,ALL,1,10000000,83,0.2585,0.1479,0.373
12,IT & IT Services,Small,1,20,28,0.1546,0.0919,0.3904
12,IT & IT Services,Medium,20,100,33,0.2072,0.0514,0.5102
12,IT & IT Services,Large,100,300,4,0.6067,0.5857,0.6154
12,IT & IT Services,XL,300,10000000,2,0.4015,0.36,0.4549
12,IT & IT Services,ALL,1,10000000,67,0.2228,0.0878,0.5
13,Professional Activities,Small,1,20,61,0.3889,0.2581,0.5262
13,Professional Activities,Medium,20,100,24,0.4138,0.3087,0.5722
13,Professional Activities,Large,100,300,5,0.5955,0.456,0.6136
13,Professional Activities,XL,300,10000000,6,0.1286,0.1047,0.1791
13,Professional Activities,ALL,1,10000000,96,0.411,0.2594,0.5901
14,Other Services,Small,1,20,90,0.2601,0.1788,0.3509
14,Other Services,Medium,20,100,24,0.22,0.154,0.287
14,Other Services,Large,100,300,2,0.2212,0.0917,0.2761
14,Other Services,XL,300,10000000,1,0.0626,0.0626,0.0626
14,Other Services,ALL,1,10000000,117,0.25,0.1679,0.3419
