cnae_2d,cnae_4d,razao_folha_receita,source_table,source_category_code,source_category_name,source_precision,ano
05,0500,0.139719,PIA_7242_7241,0500,05.00-3 Extração de carvão mineral,alta,2023
06,0600,0.017512,PIA_7242_7241,0600,06.00-0 Extração de petróleo e gás natural,alta,2023
07,0710,0.036346,PIA_7242_7241,0710,07.10-3 Extração de minério de ferro,alta,2023
07,0721,0.090794,PIA_7242_7241,0721,07.21-9 Extração de minério de alumínio,alta,2023
07,0722,0.065261,PIA_7242_7241,0722,07.22-7 Extração de minério de estanho,alta,2023
07,0723,0.162685,PIA_7242_7241,0723,07.23-5 Extração de minério de manganês,alta,2023
07,0724,0.083488,PIA_7242_7241,0724,07.24-3 Extração de minério de metais preciosos,alta,2023
07,0729,0.058966,PIA_7242_7241,0729,07.29-4 Extração de minerais metálicos não-ferrosos não especificados anteriormente,alta,2023
08,0810,0.099994,PIA_7242_7241,0810,08.10-0 Extração de pedra  areia e argila,alta,2023
08,0891,0.059668,PIA_7242_7241,0891,08.91-6 Extração de minerais para fabricação de adubos  fertilizantes e outros produtos químicos,alta,2023
08,0892,0.080502,PIA_7242_7241,0892,08.92-4 Extração e refino de sal marinho e sal-gema,alta,2023
08,0893,0.144438,PIA_7242_7241,0893,08.93-2 Extração de gemas (pedras preciosas e semipreciosas),alta,2023
08,0899,0.090502,PIA_7242_7241,0899,08.99-1 Extração de minerais não-metálicos não especificados anteriormente,alta,2023
09,0910,0.180055,PIA_7242_7241,0910,09.10-6 Atividades de apoio à extração de petróleo e gás natural,alta,2023
09,0990,0.184383,PIA_7242_7241,0990,09.90-4 Atividades de apoio à extração de minerais  exceto petróleo e gás natural,alta,2023
10,1011,0.040786,PIA_7242_7241,1011,10.11-2 Abate de reses  exceto suínos,alta,2023
10,1012,0.073955,PIA_7242_7241,1012,10.12-1 Abate de suínos  aves e outros pequenos animais,alta,2023
10,1013,0.060324,PIA_7242_7241,1013,10.13-9 Fabricação de produtos de carne,alta,2023
10,1020,0.086040,PIA_7242_7241,1020,10.20-1 Preservação do pescado e fabricação de produtos do pescado,alta,2023
10,1031,0.086596,PIA_7242_7241,1031,10.31-7 Fabricação de conservas de frutas,alta,2023
10,1032,0.056687,PIA_7242_7241,1032,10.32-5 Fabricação de conservas de legumes e outros vegetais,alta,2023
