cnae_2d,cnae_4d,receita_por_pessoa_brl,source_table,source_precision,ano,source_desc
05,0500,552431.84,PIA_7241_7242,alta,2023,05.00-3 Extração de carvão mineral
06,0600,17570951.66,PIA_7241_7242,alta,2023,06.00-0 Extração de petróleo e gás natural
07,0710,2429365.82,PIA_7241_7242,alta,2023,07.10-3 Extração de minério de ferro
07,0721,948769.66,PIA_7241_7242,alta,2023,07.21-9 Extração de minério de alumínio
07,0722,880047.54,PIA_7241_7242,alta,2023,07.22-7 Extração de minério de estanho
07,0723,500769.6,PIA_7241_7242,alta,2023,07.23-5 Extração de minério de manganês
07,0724,1187044.71,PIA_7241_7242,alta,2023,07.24-3 Extração de minério de metais preciosos
07,0729,1491990.98,PIA_7241_7242,alta,2023,07.29-4 Extração de minerais metálicos não-ferrosos não especificados anteriormente
08,0810,483936.02,PIA_7241_7242,alta,2023,"08.10-0 Extração de pedra, areia e argila"
08,0891,999505.24,PIA_7241_7242,alta,2023,"08.91-6 Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos"
08,0892,494130.09,PIA_7241_7242,alta,2023,08.92-4 Extração e refino de sal marinho e sal-gema
08,0893,370279.74,PIA_7241_7242,alta,2023,08.93-2 Extração de gemas (pedras preciosas e semipreciosas)
08,0899,569130.22,PIA_7241_7242,alta,2023,08.99-1 Extração de minerais não-metálicos não especificados anteriormente
09,0910,903822.25,PIA_7241_7242,alta,2023,09.10-6 Atividades de apoio à extração de petróleo e gás natural
09,0990,283949.09,PIA_7241_7242,alta,2023,"09.90-4 Atividades de apoio à extração de minerais, exceto petróleo e gás natural"
10,1011,958169.71,PIA_7241_7242,alta,2023,"10.11-2 Abate de reses, exceto suínos"
10,1012,521169.36,PIA_7241_7242,alta,2023,"10.12-1 Abate de suínos, aves e outros pequenos animais"
10,1013,589114.84,PIA_7241_7242,alta,2023,10.13-9 Fabricação de produtos de carne
10,1020,402002.69,PIA_7241_7242,alta,2023,10.20-1 Preservação do pescado e fabricação de produtos do pescado
10,1031,396369.46,PIA_7241_7242,alta,2023,10.31-7 Fabricação de conservas de frutas
10,1032,721936.79,PIA_7241_7242,alta,2023,10.32-5 Fabricação de conservas de legumes e outros vegetais
10,1033,496786.36,PIA_7241_7242,alta,2023,"10.33-3 Fabricação de sucos de frutas, hortaliças e legumes"
10,1041,6187430.7,PIA_7241_7242,alta,2023,"10.41-4 Fabricação de óleos vegetais em bruto, exceto óleo de milho"
10,1042,1562194.57,PIA_7241_7242,alta,2023,"10.42-2 Fabricação de óleos vegetais refinados, exceto óleo de milho"
10,1043,1187890.17,PIA_7241_7242,alta,2023,10.43-1 Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais
10,1051,1339567.53,PIA_7241_7242,alta,2023,10.51-1 Preparação do leite
10,1052,1132945.57,PIA_7241_7242,alta,2023,10.52-0 Fabricação de laticínios
10,1053,369301.8,PIA_7241_7242,alta,2023,10.53-8 Fabricação de sorvetes e outros gelados comestíveis
10,1061,1472727.35,PIA_7241_7242,alta,2023,10.61-9 Beneficiamento de arroz e fabricação de produtos do arroz
10,1062,1142416.51,PIA_7241_7242,alta,2023,10.62-7 Moagem de trigo e fabricação de derivados
10,1063,716177.58,PIA_7241_7242,alta,2023,10.63-5 Fabricação de farinha de mandioca e derivados
10,1064,606809.02,PIA_7241_7242,alta,2023,"10.64-3 Fabricação de farinha de milho e derivados, exceto óleos de milho"
10,1065,6041929.78,PIA_7241_7242,alta,2023,10.65-1 Fabricação de amidos e féculas de vegetais e de óleos de milho
10,1066,968787.05,PIA_7241_7242,alta,2023,10.66-0 Fabricação de alimentos para animais
10,1069,1005655.76,PIA_7241_7242,alta,2023,10.69-4 Moagem e fabricação de produtos de origem vegetal não especificados anteriormente
10,1071,444913.12,PIA_7241_7242,alta,2023,10.71-6 Fabricação de açúcar em bruto
10,1072,344638.1,PIA_7241_7242,alta,2023,10.72-4 Fabricação de açúcar refinado
10,1081,1316352.09,PIA_7241_7242,alta,2023,10.81-3 Torrefação e moagem de café
10,1082,1191890.05,PIA_7241_7242,alta,2023,10.82-1 Fabricação de produtos à base de café
10,1091,251487.75,PIA_7241_7242,alta,2023,10.91-1 Fabricação de produtos de panificação
10,1092,510228.25,PIA_7241_7242,alta,2023,10.92-9 Fabricação de biscoitos e bolachas
10,1093,932368.82,PIA_7241_7242,alta,2023,"10.93-7 Fabricação de produtos derivados do cacau, de chocolates e confeitos"
10,1094,439217.97,PIA_7241_7242,alta,2023,10.94-5 Fabricação de massas alimentícias
10,1095,699932.0,PIA_7241_7242,alta,2023,"10.95-3 Fabricação de especiarias, molhos, temperos e condimentos"
10,1096,276287.44,PIA_7241_7242,alta,2023,10.96-1 Fabricação de alimentos e pratos prontos
10,1099,680003.53,PIA_7241_7242,alta,2023,10.99-6 Fabricação de produtos alimentícios não especificados anteriormente
11,1111,875296.07,PIA_7241_7242,alta,2023,11.11-9 Fabricação de aguardentes e outras bebidas destiladas
11,1112,897177.74,PIA_7241_7242,alta,2023,11.12-7 Fabricação de vinho
11,1113,1276834.71,PIA_7241_7242,alta,2023,"11.13-5 Fabricação de malte, cervejas e chopes"
11,1121,297754.01,PIA_7241_7242,alta,2023,11.21-6 Fabricação de águas envasadas
11,1122,760667.89,PIA_7241_7242,alta,2023,11.22-4 Fabricação de refrigerantes e de outras bebidas não-alcoólicas
12,1210,1600150.46,PIA_7241_7242,alta,2023,12.10-7 Processamento industrial do fumo
12,1220,1335669.26,PIA_7241_7242,alta,2023,12.20-4 Fabricação de produtos do fumo
13,1311,409798.87,PIA_7241_7242,alta,2023,13.11-1 Preparação e fiação de fibras de algodão
13,1312,220188.42,PIA_7241_7242,alta,2023,"13.12-0 Preparação e fiação de fibras têxteis naturais, exceto algodão"
13,1313,317635.74,PIA_7241_7242,alta,2023,13.13-8 Fiação de fibras artificiais e sintéticas
