cnpj,razao_social,cnae_2_subclasse,id_municipio,headcount
67169631000100,ACAO ENGENHARIA E INSTALACOES LTDA,4321500,3550308,40
33434479000123,FUTURAE STUDIO BIKE PARQUE CIDADE LTDA,9313100,3550308,21
50784313000156,SISTEMA EDUCACIONAL QUINTAL LTDA,8520100,3522307,108
13097968000120,FURLAN RIOPREMIX ARGAMASSAS E CONCRETO LTDA,4744099,3549805,24
12457397000124,LOMEG INSTALACOES INDUSTRIAIS LTDA,3314710,3501608,23
29958527000105,RALKY FORMAS PARA CONCRETO LTDA,7732201,3518800,84
61353199000126,INDUSTRIA E COMERCIO LEAL LTDA,1413401,3509601,82
39487624000110,PRO VIDEO ENDOSCOPIA DIGESTIVA E DAY CARE LTDA,8640209,3304557,46
24743474000191,CLINICA MEDICA DE NEFROLOGIA DE JUNDIAI LTDA.,8640203,3525904,29
44273977000158,PREC TECH INDUSTRIA E COMERCIO DE ARTEFATOS DE METAIS L,2592602,3518800,58
12117104000160,"COMERCIAL RUBYS - IMPORTACAO, EXPORTACAO E SERVICOS - LTDA",4693100,3550308,60
06984627000100,TAPECARIA AMERICANA DECOR LTDA,4649405,3501608,84
56814395000110,SAO JOAO ALIMENTOS LTDA,1061901,3546405,295
03009915000156,VARIAN MEDICAL SYSTEMS BRASIL LTDA.,3312103,3525904,163
26609106000180,REMOB COMERCIO DE VEICULOS LTDA,4511101,3523909,41
28889309000101,AGILE COMERCIO VAREJISTA DE PRODUTOS ELETROMEDICOS  LTDA,4773300,3550308,43
22121209000146,STRIPE BRASIL SOLUCOES DE PAGAMENTO INSTITUICAO DE PAGAMENTO LTDA,6204000,3550308,21
56430549000170,MIAMOR BAZAR E PAPELARIA LTDA,4713004,3534401,38
01600200000148,VEOLIA SERVICOS AMBIENTAIS BRASIL LTDA,8211300,3550308,219
44194088000103,HUBPAR MOBILIDADE E ESTACIONAMENTO LTDA,5223100,3304557,78
